1,2,3,4,5
R,U,P,E,E
N,A,S,T,Y
M,O,U,R,N
A,H,E,A,D
B,R,I,N,E
C,L,O,T,H
H,O,A,R,D
S,W,E,E,T
M,O,N,T,H
L,A,P,S,E
W,A,T,C,H
T,O,D,A,Y
F,O,C,U,S
S,M,E,L,T
T,E,A,S,E
C,A,T,E,R
M,O,V,I,E
L,Y,N,C,H
S,A,U,T,E
A,L,L,O,W
R,E,N,E,W
T,H,E,I,R
S,L,O,S,H
P,U,R,G,E
C,H,E,S,T
D,E,P,O,T
E,P,O,X,Y
N,Y,M,P,H
F,O,U,N,D
S,H,A,L,L
H,A,R,R,Y
S,T,O,V,E
L,O,W,L,Y
S,N,O,U,T
T,R,O,P,E
F,E,W,E,R
S,H,A,W,L
N,A,T,A,L
F,I,B,R,E
C,O,M,M,A
F,O,R,A,Y
S,C,A,R,E
S,T,A,I,R
B,L,A,C,K
S,Q,U,A,D
R,O,Y,A,L
C,H,U,N,K
M,I,N,C,E
S,L,A,V,E
S,H,A,M,E
C,H,E,E,K
A,M,P,L,E
F,L,A,I,R
F,O,Y,E,R
C,A,R,G,O
O,X,I,D,E
P,L,A,N,T
O,L,I,V,E
I,N,E,R,T
A,S,K,E,W
H,E,I,S,T
S,H,O,W,N
Z,E,S,T,Y
H,A,S,T,Y
T,R,A,S,H
F,E,L,L,A
L,A,R,V,A
F,O,R,G,O
S,T,O,R,Y
H,A,I,R,Y
T,R,A,I,N
H,O,M,E,R
B,A,D,G,E
M,I,D,S,T
C,A,N,N,Y
F,E,T,U,S
B,U,T,C,H
F,A,R,C,E
S,L,U,N,G
T,I,P,S,Y
M,E,T,A,L
Y,I,E,L,D
D,E,L,V,E
B,E,I,N,G
S,C,O,U,R
G,L,A,S,S
G,A,M,E,R
S,C,R,A,P
M,O,N,E,Y
H,I,N,G,E
A,L,B,U,M
V,O,U,C,H
A,S,S,E,T
T,I,A,R,A
C,R,E,P,T
B,A,Y,O,U
A,T,O,L,L
M,A,N,O,R
C,R,E,A,K
S,H,O,W,Y
P,H,A,S,E
F,R,O,T,H
D,E,P,T,H
G,L,O,O,M
F,L,O,O,D
T,R,A,I,T
G,I,R,T,H
P,I,E,T,Y
P,A,Y,E,R
G,O,O,S,E
F,L,O,A,T
D,O,N,O,R
A,T,O,N,E
P,R,I,M,O
A,P,R,O,N
B,L,O,W,N
C,A,C,A,O
L,O,S,E,R
I,N,P,U,T
G,L,O,A,T
A,W,F,U,L
B,R,I,N,K
S,M,I,T,E
B,E,A,D,Y
R,U,S,T,Y
R,E,T,R,O
D,R,O,L,L
G,A,W,K,Y
H,U,T,C,H
P,I,N,T,O
G,A,I,L,Y
E,G,R,E,T
L,I,L,A,C
S,E,V,E,R
F,I,E,L,D
F,L,U,F,F
H,Y,D,R,O
F,L,A,C,K
A,G,A,P,E
W,E,N,C,H
V,O,I,C,E
S,T,E,A,D
S,T,A,L,K
B,E,R,T,H
M,A,D,A,M
N,I,G,H,T
B,L,A,N,D
L,I,V,E,R
W,E,D,G,E
A,U,G,U,R
R,O,O,M,Y
W,A,C,K,Y
F,L,O,C,K
A,N,G,R,Y
B,O,B,B,Y
T,R,I,T,E
A,P,H,I,D
T,R,Y,S,T
M,I,D,G,E
P,O,W,E,R
E,L,O,P,E
C,I,N,C,H
M,O,T,T,O
S,T,O,M,P
U,P,S,E,T
B,L,U,F,F
C,R,A,M,P
Q,U,A,R,T
C,O,Y,L,Y
Y,O,U,T,H
R,H,Y,M,E
B,U,G,G,Y
A,L,I,E,N
S,M,E,A,R
U,N,F,I,T
P,A,T,T,Y
C,L,I,N,G
G,L,E,A,N
L,A,B,E,L
H,U,N,K,Y
K,H,A,K,I
P,O,K,E,R
G,R,U,E,L
T,W,I,C,E
T,W,A,N,G
S,H,R,U,G
T,R,E,A,T
U,N,L,I,T
W,A,S,T,E
M,E,R,I,T
W,O,V,E,N
O,C,T,A,L
N,E,E,D,Y
C,L,O,W,N
W,I,D,O,W
I,R,O,N,Y
R,U,D,E,R
G,A,U,Z,E
C,H,I,E,F
O,N,S,E,T
P,R,I,Z,E
F,U,N,G,I
C,H,A,R,M
G,U,L,L,Y
I,N,T,E,R
W,H,O,O,P
T,A,U,N,T
L,E,E,R,Y
C,L,A,S,S
T,H,E,M,E
L,O,F,T,Y
T,I,B,I,A
B,O,O,Z,E
A,L,P,H,A
T,H,Y,M,E
E,C,L,A,T
D,O,U,B,T
P,A,R,E,R
C,H,U,T,E
S,T,I,C,K
T,R,I,C,E
A,L,I,K,E
S,O,O,T,H
R,E,C,A,P
S,A,I,N,T
L,I,E,G,E
G,L,O,R,Y
G,R,A,T,E
A,D,M,I,T
B,R,I,S,K
S,O,G,G,Y
U,S,U,R,P
S,C,A,L,D
S,C,O,R,N
L,E,A,V,E
T,W,I,N,E
S,T,I,N,G
B,O,U,G,H
M,A,R,S,H
S,L,O,T,H
D,A,N,D,Y
V,I,G,O,R
H,O,W,D,Y
E,N,J,O,Y
V,A,L,I,D
I,O,N,I,C
E,Q,U,A,L
U,N,S,E,T
F,L,O,O,R
C,A,T,C,H
S,P,A,D,E
S,T,E,I,N
E,X,I,S,T
Q,U,I,R,K
D,E,N,I,M
G,R,O,V,E
S,P,I,E,L
M,U,M,M,Y
F,A,U,L,T
F,O,G,G,Y
F,L,O,U,T
C,A,R,R,Y
S,N,E,A,K
L,I,B,E,L
W,A,L,T,Z
A,P,T,L,Y
P,I,N,E,Y
I,N,E,P,T
A,L,O,U,D
P,H,O,T,O
D,R,E,A,M
S,T,A,L,E
V,O,M,I,T
O,M,B,R,E
F,A,N,N,Y
U,N,I,T,E
S,N,A,R,L
B,A,K,E,R
T,H,E,R,E
G,L,Y,P,H
P,O,O,C,H
H,I,P,P,Y
S,P,E,L,L
F,O,L,L,Y
L,O,U,S,E
G,U,L,C,H
V,A,U,L,T
G,O,D,L,Y
T,H,R,E,W
F,L,E,E,T
G,R,A,V,E
I,N,A,N,E
S,H,O,C,K
C,R,A,V,E
S,P,I,T,E
V,A,L,V,E
S,K,I,M,P
C,L,A,I,M
R,A,I,N,Y
M,U,S,T,Y
P,I,Q,U,E
D,A,D,D,Y
Q,U,A,S,I
A,R,I,S,E
 ,D,O,N,T
E,P,O,S,T
A,G,I,N,G
V,A,L,E,T
O,P,I,U,M
A,V,E,R,T
S,T,U,C,K
R,E,C,U,T
M,U,L,C,H
G,E,N,R,E
P,L,U,M,E
R,I,F,L,E
C,O,U,N,T
I,N,C,U,R
T,O,T,A,L
W,R,E,S,T
M,O,C,H,A
D,E,T,E,R
S,T,U,D,Y
L,O,V,E,R
S,A,F,E,R
R,I,V,E,T
F,U,N,N,Y
S,M,O,K,E
M,O,U,N,D
U,N,D,U,E
S,E,D,A,N
P,A,G,A,N
S,W,I,N,E
G,U,I,L,E
G,U,S,T,Y
E,Q,U,I,P
T,O,U,G,H
C,A,N,O,E
C,H,A,O,S
C,O,V,E,T
H,U,M,A,N
U,D,D,E,R
L,U,N,C,H
B,L,A,S,T
S,T,R,A,Y
M,A,N,G,A
M,E,L,E,E
L,E,F,T,Y
Q,U,I,C,K
P,A,S,T,E
G,I,V,E,N
O,C,T,E,T
R,I,S,E,N
G,R,O,A,N
L,E,A,K,Y
G,R,I,N,D
C,A,R,V,E
L,O,O,S,E
S,A,D,L,Y
S,P,I,L,T
A,P,P,L,E
S,L,A,C,K
H,O,N,E,Y
F,I,N,A,L
S,H,E,E,N
E,E,R,I,E
M,I,N,T,Y
S,L,I,C,K
D,E,R,B,Y
W,H,A,R,F
S,P,E,L,T
C,O,A,C,H
E,R,U,P,T
S,I,N,G,E
P,R,I,C,E
S,P,A,W,N
F,A,I,R,Y
J,I,F,F,Y
F,I,L,M,Y
S,T,A,C,K
C,H,O,S,E
S,L,E,E,P
A,R,D,O,R
N,A,N,N,Y
N,I,E,C,E
W,O,O,Z,Y
H,A,N,D,Y
G,R,A,C,E
D,I,T,T,O
S,T,A,N,K
C,R,E,A,M
U,S,U,A,L
D,I,O,D,E
V,A,L,O,R
A,N,G,L,E
N,I,N,J,A
M,U,D,D,Y
C,H,A,S,E
R,E,P,L,Y
P,R,O,N,E
S,P,O,I,L
H,E,A,R,T
S,H,A,D,E
D,I,N,E,R
A,R,S,O,N
O,N,I,O,N
S,L,E,E,T
D,O,W,E,L
C,O,U,C,H
P,A,L,S,Y
B,O,W,E,L
S,M,I,L,E
E,V,O,K,E
C,R,E,E,K
L,A,N,C,E
E,A,G,L,E
I,D,I,O,T
S,I,R,E,N
B,U,I,L,T
E,M,B,E,D
A,W,A,R,D
D,R,O,S,S
A,N,N,U,L
G,O,O,D,Y
F,R,O,W,N
P,A,T,I,O
L,A,D,E,N
H,U,M,I,D
E,L,I,T,E
L,Y,M,P,H
E,D,I,F,Y
M,I,G,H,T
R,E,S,E,T
V,I,S,I,T
G,U,S,T,O
P,U,R,S,E
V,A,P,O,R
C,R,O,C,K
W,R,I,T,E
S,U,N,N,Y
L,O,A,T,H
C,H,A,F,F
S,L,I,D,E
Q,U,E,E,R
V,E,N,O,M
S,T,A,M,P
S,O,R,R,Y
S,T,I,L,L
A,C,O,R,N
A,P,I,N,G
P,U,S,H,Y
T,A,M,E,R
H,A,T,E,R
M,A,N,I,A
A,W,O,K,E
B,R,A,W,N
S,W,I,F,T
E,X,I,L,E
B,I,R,C,H
L,U,C,K,Y
F,R,E,E,R
R,I,S,K,Y
G,H,O,S,T
P,L,I,E,R
L,U,N,A,R
W,I,N,C,H
S,N,A,R,E
N,U,R,S,E
H,O,U,S,E
B,O,R,A,X
N,I,C,E,R
L,U,R,C,H
E,X,A,L,T
A,B,O,U,T
S,A,V,V,Y
T,O,X,I,N
T,U,N,I,C
P,R,I,E,D
I,N,L,A,Y
C,H,U,M,P
L,A,N,K,Y
C,R,E,S,S
E,A,T,E,R
E,L,U,D,E
C,Y,C,L,E
K,I,T,T,Y
B,O,U,L,E
M,O,R,O,N
T,E,N,E,T
P,L,A,C,E
L,O,B,B,Y
P,L,U,S,H
V,I,G,I,L
I,N,D,E,X
B,L,I,N,K
C,L,U,N,G
Q,U,A,L,M
C,R,O,U,P
C,L,I,N,K
J,U,I,C,Y
S,T,A,G,E
D,E,C,A,Y
N,E,R,V,E
F,L,I,E,R
S,H,A,F,T
C,R,O,O,K
C,L,E,A,N
C,H,I,N,A
R,I,D,G,E
V,O,W,E,L
G,N,O,M,E
S,N,U,C,K
I,C,I,N,G
S,P,I,N,Y
R,I,G,O,R
S,N,A,I,L
F,L,O,W,N
R,A,B,I,D
P,R,O,S,E
T,H,A,N,K
P,O,P,P,Y
B,U,D,G,E
F,I,B,E,R
M,O,L,D,Y
D,O,W,D,Y
K,N,E,E,L
T,R,A,C,K
C,A,D,D,Y
Q,U,E,L,L
D,U,M,P,Y
P,A,L,E,R
S,W,O,R,E
R,E,B,A,R
S,C,U,B,A
S,P,L,A,T
F,L,Y,E,R
H,O,R,N,Y
M,A,S,O,N
D,O,I,N,G
O,Z,O,N,E
A,M,P,L,Y
M,O,L,A,R
O,V,A,R,Y
B,E,S,E,T
Q,U,E,U,E
C,L,I,F,F
M,A,G,I,C
T,R,U,C,E
S,P,O,R,T
F,R,I,T,Z
E,D,I,C,T
T,W,I,R,L
V,E,R,S,E
L,L,A,M,A
E,A,T,E,N
R,A,N,G,E
W,H,I,S,K
H,O,V,E,L
R,E,H,A,B
M,A,C,A,W
S,I,G,M,A
S,P,O,U,T
V,E,R,V,E
S,U,S,H,I
D,Y,I,N,G
F,E,T,I,D
B,R,A,I,N
B,U,D,D,Y
T,H,U,M,P
S,C,I,O,N
C,A,N,D,Y
C,H,O,R,D
B,A,S,I,N
M,A,R,C,H
C,R,O,W,D
A,R,B,O,R
G,A,Y,L,Y
M,U,S,K,Y
S,T,A,I,N
D,A,L,L,Y
B,L,E,S,S
B,R,A,V,O
S,T,U,N,G
T,I,T,L,E
R,U,L,E,R
K,I,O,S,K
B,L,O,N,D
E,N,N,U,I
L,A,Y,E,R
F,L,U,I,D
T,A,T,T,Y
S,C,O,R,E
C,U,T,I,E
Z,E,B,R,A
B,A,R,G,E
M,A,T,E,Y
B,L,U,E,R
A,I,D,E,R
S,H,O,O,K
R,I,V,E,R
P,R,I,V,Y
B,E,T,E,L
F,R,I,S,K
B,O,N,G,O
B,E,G,U,N
A,Z,U,R,E
W,E,A,V,E
G,E,N,I,E
S,O,U,N,D
G,L,O,V,E
B,R,A,I,D
S,C,O,P,E
W,R,Y,L,Y
R,O,V,E,R
A,S,S,A,Y
O,C,E,A,N
B,L,O,O,M
I,R,A,T,E
L,A,T,E,R
W,O,K,E,N
S,I,L,K,Y
W,R,E,C,K
D,W,E,L,T
S,L,A,T,E
S,M,A,C,K
S,O,L,I,D
A,M,A,Z,E
H,A,Z,E,L
W,R,I,S,T
J,O,L,L,Y
G,L,O,B,E
F,L,I,N,T
R,O,U,S,E
C,I,V,I,L
V,I,S,T,A
R,E,L,A,X
C,O,V,E,R
A,L,I,V,E
B,E,E,C,H
J,E,T,T,Y
B,L,I,S,S
V,O,C,A,L
O,F,T,E,N
D,O,L,L,Y
E,I,G,H,T
J,O,K,E,R
S,I,N,C,E
E,V,E,N,T
E,N,S,U,E
S,H,U,N,T
D,I,V,E,R
P,O,S,E,R
W,O,R,S,T
S,W,E,E,P
A,L,L,E,Y
C,R,E,E,D
A,N,I,M,E
L,E,A,F,Y
B,O,S,O,M
D,U,N,C,E
S,T,A,R,E
P,U,D,G,Y
W,A,I,V,E
C,H,O,I,R
S,T,O,O,D
S,P,O,K,E
O,U,T,G,O
D,E,L,A,Y
B,I,L,G,E
I,D,E,A,L
C,L,A,S,P
S,E,I,Z,E
H,O,T,L,Y
L,A,U,G,H
S,I,E,V,E
B,L,O,C,K
M,E,A,N,T
G,R,A,P,E
N,O,O,S,E
H,A,R,D,Y
S,H,I,E,D
D,R,A,W,L
D,A,I,S,Y
P,U,T,T,Y
S,T,R,U,T
B,U,R,N,T
T,U,L,I,P
C,R,I,C,K
I,D,Y,L,L
V,I,X,E,N
F,U,R,O,R
G,E,E,K,Y
C,O,U,G,H
N,A,I,V,E
S,H,O,A,L
S,T,O,R,K
B,A,T,H,E
A,U,N,T,Y
C,H,E,C,K
P,R,I,M,E
B,R,A,S,S
O,U,T,E,R
F,U,R,R,Y
R,A,Z,O,R
E,L,E,C,T
E,V,I,C,T
I,M,P,L,Y
D,E,M,U,R
Q,U,O,T,A
H,A,V,E,N
C,A,V,I,L
S,W,E,A,R
C,R,U,M,P
D,O,U,G,H
G,A,V,E,L
W,A,G,O,N
S,A,L,O,N
N,U,D,G,E
H,A,R,E,M
P,I,T,C,H
S,W,O,R,N
P,U,P,I,L
E,X,C,E,L
S,T,O,N,Y
C,A,B,I,N
U,N,Z,I,P
Q,U,E,E,N
T,R,O,U,T
P,O,L,Y,P
E,A,R,T,H
S,T,O,R,M
U,N,T,I,L
T,A,P,E,R
E,N,T,E,R
C,H,I,L,D
A,D,O,P,T
M,I,N,O,R
F,A,T,T,Y
H,U,S,K,Y
B,R,A,V,E
F,I,L,E,T
S,L,I,M,E
G,L,I,N,T
T,R,E,A,D
S,T,E,A,L
R,E,G,A,L
G,U,E,S,T
E,V,E,R,Y
M,U,R,K,Y
S,H,A,R,E
S,P,O,R,E
H,O,I,S,T
B,U,X,O,M
I,N,N,E,R
O,T,T,E,R
D,I,M,L,Y
L,E,V,E,L
S,U,M,A,C
D,O,N,U,T
S,T,I,L,T
A,R,E,N,A
S,H,E,E,T
S,C,R,U,B
F,A,N,C,Y
S,L,I,M,Y
P,E,A,R,L
S,I,L,L,Y
P,O,R,C,H
D,I,N,G,O
S,E,P,I,A
A,M,B,L,E
S,H,A,D,Y
B,R,E,A,D
F,R,I,A,R
R,E,I,G,N
D,A,I,R,Y
Q,U,I,L,L
C,R,O,S,S
B,R,O,O,D
T,U,B,E,R
S,H,E,A,R
P,O,S,I,T
B,L,A,N,K
V,I,L,L,A
S,H,A,N,K
P,I,G,G,Y
F,R,E,A,K
W,H,I,C,H
A,M,O,N,G
F,E,C,A,L
S,H,E,L,L
W,O,U,L,D
A,L,G,A,E
L,A,R,G,E
R,A,B,B,I
A,G,O,N,Y
A,M,U,S,E
B,U,S,H,Y
C,O,P,S,E
S,W,O,O,N
K,N,I,F,E
P,O,U,C,H
A,S,C,O,T
P,L,A,N,E
C,R,O,W,N
U,R,B,A,N
S,N,I,D,E
R,E,L,A,Y
A,B,I,D,E
V,I,O,L,A
R,A,J,A,H
S,T,R,A,W
D,I,L,L,Y
C,R,A,S,H
A,M,A,S,S
T,H,I,R,D
T,R,I,C,K
T,U,T,O,R
W,O,O,D,Y
B,L,U,R,B
G,R,I,E,F
D,I,S,C,O
W,H,E,R,E
S,A,S,S,Y
B,E,A,C,H
S,A,U,N,A
C,O,M,I,C
C,L,U,E,D
C,R,E,E,P
C,A,S,T,E
G,R,A,Z,E
S,N,U,F,F
F,R,O,C,K
G,O,N,A,D
D,R,U,N,K
P,R,O,N,G
L,U,R,I,D
S,T,E,E,L
H,A,L,V,E
B,U,Y,E,R
V,I,N,Y,L
U,T,I,L,E
S,M,E,L,L
A,D,A,G,E
W,O,R,R,Y
T,A,S,T,Y
L,O,C,A,L
T,R,A,D,E
F,I,N,C,H
A,S,H,E,N
M,O,D,A,L
G,A,U,N,T
C,L,O,V,E
E,N,A,C,T
A,D,O,R,N
R,O,A,S,T
S,P,E,C,K
S,H,E,I,K
M,I,S,S,Y
G,R,U,N,T
S,N,O,O,P
P,A,R,T,Y
T,O,U,C,H
M,A,F,I,A
E,M,C,E,E
A,R,R,A,Y
S,O,U,T,H
V,A,P,I,D
J,E,L,L,Y
S,K,U,L,K
A,N,G,S,T
T,U,B,A,L
L,O,W,E,R
C,R,E,S,T
S,W,E,A,T
C,Y,B,E,R
A,D,O,R,E
T,A,R,D,Y
S,W,A,M,I
N,O,T,C,H
G,R,O,O,M
R,O,A,C,H
H,I,T,C,H
Y,O,U,N,G
A,L,I,G,N
R,E,A,D,Y
F,R,O,N,D
S,T,R,A,P
P,U,R,E,E
R,E,A,L,M
V,E,N,U,E
S,W,A,R,M
O,F,F,E,R
S,E,V,E,N
D,R,Y,E,R
D,I,A,R,Y
D,R,Y,L,Y
D,R,A,N,K
A,C,R,I,D
H,E,A,D,Y
T,H,E,T,A
J,U,N,T,O
P,I,X,I,E
Q,U,O,T,H
B,O,N,U,S
S,H,A,L,T
P,E,N,N,E
A,M,E,N,D
D,A,T,U,M
B,U,I,L,D
P,I,A,N,O
S,H,E,L,F
L,O,D,G,E
S,U,I,N,G
R,E,A,R,M
C,O,R,A,L
R,A,M,E,N
W,O,R,T,H
P,S,A,L,M
I,N,F,E,R
O,V,E,R,T
M,A,Y,O,R
O,V,O,I,D
G,L,I,D,E
U,S,A,G,E
P,O,I,S,E
R,A,N,D,Y
C,H,U,C,K
P,R,A,N,K
F,I,S,H,Y
T,O,O,T,H
E,T,H,E,R
D,R,O,V,E
I,D,L,E,R
S,W,A,T,H
S,T,I,N,T
W,H,I,L,E
B,E,G,A,T
A,P,P,L,Y
S,L,A,N,G
T,A,R,O,T
R,A,D,A,R
C,R,E,D,O
A,W,A,R,E
C,A,N,O,N
S,H,I,F,T
T,I,M,E,R
B,Y,L,A,W
S,E,R,U,M
T,H,R,E,E
S,T,E,A,K
I,L,I,A,C
S,H,I,R,K
B,L,U,N,T
P,U,P,P,Y
P,E,N,A,L
J,O,I,S,T
B,U,N,N,Y
S,H,A,P,E
B,E,G,E,T
W,H,E,E,L
A,D,E,P,T
S,T,U,N,T
S,T,O,L,E
T,O,P,A,Z
C,H,O,R,E
F,L,U,K,E
A,F,O,O,T
B,L,O,A,T
B,U,L,L,Y
D,E,N,S,E
C,A,P,E,R
S,N,E,E,R
B,O,X,E,R
J,U,M,B,O
L,U,N,G,E
S,P,A,C,E
A,V,A,I,L
S,H,O,R,T
S,L,U,R,P
L,O,Y,A,L
F,L,I,R,T
P,I,Z,Z,A
C,O,N,C,H
T,E,M,P,O
D,R,O,O,P
P,L,A,T,E
B,I,B,L,E
P,L,U,N,K
A,F,O,U,L
S,A,V,O,Y
S,T,E,E,P
A,G,I,L,E
S,T,A,K,E
D,W,E,L,L
K,N,A,V,E
B,E,A,R,D
A,R,O,S,E
M,O,T,I,F
S,M,A,S,H
B,R,O,I,L
G,L,A,R,E
S,H,O,V,E
B,A,G,G,Y
M,A,M,M,Y
S,W,A,M,P
A,L,O,N,G
R,U,G,B,Y
W,A,G,E,R
Q,U,A,C,K
S,Q,U,A,T
S,N,A,K,Y
D,E,B,I,T
M,A,N,G,E
S,K,A,T,E
N,I,N,T,H
J,O,U,S,T
T,R,A,M,P
S,P,U,R,N
M,E,D,A,L
M,I,C,R,O
R,E,B,E,L
F,L,A,N,K
L,E,A,R,N
N,A,D,I,R
M,A,P,L,E
C,O,M,F,Y
R,E,M,I,T
G,R,U,F,F
E,S,T,E,R
L,E,A,S,T
M,O,G,U,L
F,E,T,C,H
C,A,U,S,E
O,A,K,E,N
A,G,L,O,W
M,E,A,T,Y
G,A,F,F,E
S,H,Y,L,Y
R,A,C,E,R
P,R,O,W,L
T,H,I,E,F
S,T,E,R,N
P,O,E,S,Y
R,O,C,K,Y
T,W,E,E,T
W,A,I,S,T
S,P,I,R,E
G,R,O,P,E
H,A,V,O,C
P,A,T,S,Y
T,R,U,L,Y
F,O,R,T,Y
D,E,I,T,Y
U,N,C,L,E
S,W,I,S,H
G,I,V,E,R
P,R,E,E,N
B,E,V,E,L
L,E,M,U,R
D,R,A,F,T
S,L,O,P,E
A,N,N,O,Y
L,I,N,G,O
B,L,E,A,K
D,I,T,T,Y
C,U,R,L,Y
C,E,D,A,R
D,I,R,G,E
G,R,O,W,N
H,O,R,D,E
D,R,O,O,L
S,H,U,C,K
C,R,Y,P,T
C,U,M,I,N
S,T,O,C,K
G,R,A,V,Y
L,O,C,U,S
W,I,D,E,R
B,R,E,E,D
Q,U,I,T,E
C,H,A,F,E
C,A,C,H,E
B,L,I,M,P
D,E,I,G,N
F,I,E,N,D
L,O,G,I,C
C,H,E,A,P
E,L,I,D,E
R,I,G,I,D
F,A,L,S,E
R,E,N,A,L
P,E,N,C,E
R,O,W,D,Y
S,H,O,O,T
B,L,A,Z,E
E,N,V,O,Y
P,O,S,S,E
B,R,I,E,F
N,E,V,E,R
A,B,O,R,T
M,O,U,S,E
M,U,C,K,Y
S,U,L,K,Y
F,I,E,R,Y
M,E,D,I,A
T,R,U,N,K
Y,E,A,S,T
C,L,E,A,R
S,K,U,N,K
S,C,A,L,P
